ID,Reference
afri1274,donaldson_grammar_1993 
anci1242,"schwyzer_griechische_1990, schwyzer_griechische_1990-1  "
sout2645,angali_angali_2004 
aves1237,"hoffmann_avestische_1996, sims-williams_avestan_1987  "
balo1260,jahani_balochi_2009 
beng1280,david_descriptive_2015 
bulg1262,"krapova_bulgarian_2010, rudin_bulgarian_2009  "
camp1261,"jones_sardinian_1993, madrigale_is_2009  "
clas1249,"jensen_altarmenische_1959, kolligan_armenian_2006, godel_introduction_1975  "
lati1261,panhuis_latin_2006 
cune1239,melchert_language_2003 
czec1258,janda_czech_2004 
dame1241,perder_grammatical_2013 
diml1238,paul_zazaki_2009
doma1258,matras_grammar_2012 
dutc1256,donaldson_dutch_2008 
nucl1235,dum-tragut_armenian_2009 
east2288,matras_low_2003 
stan1293,carter_cambridge_2006 
west2369,"lazard_grammar_1992, windfuhr_persian_2009 "
stan1290,batchelor_reference_2011 
stan1295,zifonun_grammatik_2001 
midd1350,baums_outline_2019 
gheg1238,orel_concise_2000 
gila1241,rastorgueva_gilaki_2012 
goan1235,"nadkarni_bilingualism_1975, miranda_konkani_2007 "
goth1244,"afros_gothic_2010, wright_grammar_1954  "
mode1248,holton_greek_2012 
hier1240,"melchert_language_2003, payne_hieroglyphic_2004
 "
hind1269,"kachru_hindi_2006, davison_adjunction_2009 "
hitt1242,hoffner_grammar_2008 
iris1253,o_siadhail_modern_1989 
ital1282,maiden_reference_2007 
jude1256,authier_grammaire_2012 
kash1277,wali_kashmiri_1996 
khot1251,emmerick_khotanese_2009 
khwa1238,durkin-meisterernst_khwarezmian_2009 
latv1249,praulins_latvian_2012 
lith1251,ambrazas_lithuanian_1997 
luxe1241,schanen_parlons_2004 
mait1250,yadav_reference_1996 
mara1378,"bloch_formation_1970, dhongde_marathi_2009 "
medi1252,browning_medieval_1983 
midd1317,"brunner_outline_1970, geoghegan_relative_1975  "
midd1343,paul_mittelhochdeutsche_1998 
pahl1241,durkin-meisterernst_grammatik_2014 
nepa1254,"matthews_course_1984, paudyal_syntax_2009 "
nort2626,lasswell_ecological_1998 
nort2641,"blau_manuel_2001, thackston_kurmanji_nodate "
norw1258,strandskogen_norwegian_1986 
occi1249,"blanchet_parlon_1999, wheeler_occitan_1988 "
chur1257,lunt_old_2001
oldr1238,"ickler_topicalization_1977, schmalstieg_introduction_1995 "
olde1238,"geoghegan_relative_1975, quirk_old_1957  "
oldf1241,"bor_relative_1986, bremmer_introduction_2009 "
oldh1241,"coniglio_relative_2017, sonderegger_althochdeutsche_2003  "
oldi1245,o_huiginn_old_1986 
oldl1240,ambrazas_lithuanian_1997
oldm1244,master_grammar_1964 
oldn1244,faarlund_syntax_2004 
oldp1253,"anglade_grammaire_1921, paden_introduction_1998  "
oldp1254,"skjaervo_avestan_2007, skjaervo_introduction_2016  "
prus1238,schmalstieg_old_1974 
olds1250,holthausen_altsachsisches_1921 
olds1249,"bouzouita_clitic_2006, fischer_revisiting_2014, penny_history_2002 "
oriy1255,neukom_grammar_2003 
osca1245,buck_grammar_1904 
osse1243,"cheung_ossetic_2008, thordarson_ossetic_2009  "
pali1273,"duroiselle_practical_1997, oberlies_pali_2001  "
para1299,kieffer_parachi_2009 
part1239,sundermann_parthisch_1989 
nucl1276,"david_descriptive_2014, morgenstierne_new_2003  "
poli1260,swan_grammar_2002 
port1283,hutchinson_portuguese_2003 
roma1327,cojocaru_romanian_2004 
russ1263,"timberlake_reference_2004, wade_comprehensive_2011 "
sans1269,"davison_adjunction_2009, wackernagel_altindische_1930  "
sout1528,"alexander_bosnian_2006, browne_handbook_2004  "
sind1272,khubchandani_sindhi_2003 
sinh1246,chandralal_sinhala_2010 
slov1268,"herrity_slovene_2015, lencek_structure_1982, sonnenhauser_relative_2013  "
sogd1245,"gershevitch_grammar_1954, yakubovich_syntactic_2005, yoshida_sogdian_2009   "
stan1288,kattan-ibarra_spanish_2008 
swed1254,holmes_swedish_2013 
swis1247,
taji1245,"perry_tajik_2005, windfuhr_persian_2009  "
taly1247,paul_comparative_2011 
tokh1242,"krause_tocharisches_1960, hackstein_evolution_2012  "
tokh1243,"krause_tocharisches_1960, hackstein_evolution_2012  "
tosk1239,newmark_standard_1982 
tran1282,eska_syntax_2003 
umbr1253,buck_grammar_1904 
uppe1395,"stone_sorbian_1993, schuster-sewc_grammar_1996  "
vene1258,belloni_grammatica_2006 
vlax1238,"igla_romani_1996, matras_romani_2004  "
waig1243,degener_sprache_1998 
wakh1245,bashir_wakhi_2009 
wels1247,"borsley_syntax_2007, tallerman_relativization_1990 "
west2361,jacobs_yiddish_2005 
